momentID,activity,moment,counterparty,price,dateGMT
333840,Bought,Luka Dončić · DAL · 3 Pointer · 8/23/2020 · Base Set · Series 1 · #350,0x9e02c5420ce5647f (gritngrinder),440,2022-04-10T10:56:58.000Z
34175627,Pack,Royce O'Neale · UTA · Steal · 2/11/2022 · Base Set · Series 3 · #31301,,,2022-04-11T03:26:28.000Z
34474435,Pack,Monte Morris · DEN · 3 Pointer · 2/26/2022 · Base Set · Series 3 · #3388,,,2022-04-11T03:26:28.000Z
27839658,Pack,Chimezie Metu · SAC · 3 Pointer · 12/29/2021 · Base Set · Series 3 · #13912,,,2022-04-11T03:26:28.000Z
34335802,Pack,Payton Pritchard · BOS · Handles · 2/26/2022 · Base Set · Series 3 · #10503,,,2022-04-11T03:39:41.000Z
34733193,Pack,Chuma Okeke · ORL · Block · 1/28/2022 · Base Set · Series 3 · #43148,,,2022-04-11T03:39:41.000Z
34658187,Pack,Danny Green · PHI · Block · 1/7/2022 · Base Set · Series 3 · #641,,,2022-04-11T03:39:41.000Z
23478349,Pack,DeAndre Jordan · LAL · Dunk · 11/8/2021 · Base Set · Series 3 · #46514,,,2022-04-11T03:41:49.000Z
35304666,Pack,Buddy Hield · IND · Steal · 2/13/2022 · Fresh Threads · Series 3 · #7027,,,2022-04-11T03:41:49.000Z
28153018,Pack,Terry Rozier · CHA · Layup · 12/27/2021 · Base Set · Series 3 · #4028,,,2022-04-11T03:41:49.000Z
20214266,Bought,Karl-Anthony Towns · MIN · Dunk · 10/20/2021 · Base Set · Series 3 · #29587,0x358e90b6ae233457 (davopimp39),2,2022-04-11T03:47:19.000Z
30650020,Bought,Tim Hardaway Jr. · DAL · Dunk · 12/8/2021 · Base Set · Series 3 · #13914,0x358e90b6ae233457 (davopimp39),2,2022-04-11T03:48:40.000Z
34909358,Pack,Ben McLemore · POR · 3 Pointer · 1/10/2022 · Base Set · Series 3 · #13188,,,2022-04-11T03:49:43.000Z
30890250,Pack,Luguentz Dort · OKC · Dunk · 1/24/2022 · Base Set · Series 3 · #19,,,2022-04-11T03:49:43.000Z
28153018,Listed,Terry Rozier · CHA · Layup · 12/27/2021 · Base Set · Series 3 · #4028,,4,2022-04-11T04:05:58.000Z
35304666,Listed,Buddy Hield · IND · Steal · 2/13/2022 · Fresh Threads · Series 3 · #7027,,3,2022-04-11T04:06:19.000Z
23478349,Listed,DeAndre Jordan · LAL · Dunk · 11/8/2021 · Base Set · Series 3 · #46514,,2,2022-04-11T04:09:34.000Z
28153018,Sold,Terry Rozier · CHA · Layup · 12/27/2021 · Base Set · Series 3 · #4028,0xd85aee0dc49013a7 (giantant),4,2022-04-11T04:33:08.000Z
23478349,Sold,DeAndre Jordan · LAL · Dunk · 11/8/2021 · Base Set · Series 3 · #46514,0x9329152286c4e6b4 (hidden_jackal3059),2,2022-04-11T05:27:27.000Z
35304666,Sold,Buddy Hield · IND · Steal · 2/13/2022 · Fresh Threads · Series 3 · #7027,0xd1b5e6668dc61a5d (Chrisnpetchploy),3,2022-04-11T08:08:50.000Z
27839658,Listed,Chimezie Metu · SAC · 3 Pointer · 12/29/2021 · Base Set · Series 3 · #13912,,2,2022-04-11T08:25:02.000Z
27839658,Sold,Chimezie Metu · SAC · 3 Pointer · 12/29/2021 · Base Set · Series 3 · #13912,0x5984cfae4db021fd (flustered_chinchilla9299),2,2022-04-11T08:52:32.000Z
